#s:114|Lair|mo'   'om| _ \   /_ | _\\o//_ |/ /(_)\ \|  \   /  |0|
#s:121|Stairs_2|  ___    |_/   \__ |  [=] ^om|mo' _   ]|__/ \___ |0|
#s:721|Corridor_21|xxx/ \xxx|/^^   ^^-|\        |/  mo'  _|x\_   _/x|0|
#s:722|Corridor_22|xxxl lxxx|!^^  \___|!       !|!_ mo'__!|xxl  !xxX|0|
#s:723|Lever_1|xxxxxxxxx|xxxxxxxxx|xxxxxxxxx|xxxxxxxxx|xxxxxxxxx|0|
#s:122|Hallway|oo0o0oOOo|         |         |         |oOOo0o00o|0|
#s:731|Corridor_23|xxxl lxxx|!^^  \___|!       !|!_ mo'__!|xxl  !xxX|0|
#s:732|Corridor_24|x__! lxxx|!    \___|!    'oml|!_    __!|xx!  !xxX|0|
#s:733|Lever_2|xxxxxxxxx|xxxxxxxxx|xxxxxxxxx|xxxxxxxxx|xxxxxxxxx|0|
#s:123|Pantry|xxxl lxxx|___/ \___|!Q    Oo!|!o mo' o!|!_______!|0|
#s:131|Laboratory|  mo'    |   ^^^   |  +---+  |    _   ]|__/ \___ |0|
#s:132|Cell|xxxxxxxxx|xxxxxxxxx|xxxxxxxxx|xxxxxxxxx|xxxxxxxxx|0|

#c:61|MerchAnt|o^w^o|112|5|1|Hello fellow ant|
#c:62|Vengeful_Ant|mo^|711|5|1|Kill all spiders!|
#c:63|Mysterious_Spider|/\OO/\|712|5|0|I wont't talk to you!|
#c:64|Spider_Guard|/\OO/\|714|5|0|I won't talk to you!|
#c:65|Worried_Ant|mo^|121|5|1|Help me save the baby!|
#c:66|Baby_Ant|mo|123|2|1|[Baby gibberish]|
#c:67|Alchemist_Spider|/\OO/\|131|5|0|I won't talk to you!|
#c:68|Imprisoned_Ant|mo^|132|5|1|Get me out of here!|
#c:69|Baby_Spider|/\omo/\|713|2|0|I won't talk to you...|
#c:60|Arachne|/\00/\|114|8|0|I won't talk to you, peasant!|

Los objetos son ; id|name|location|description|health|movable|dependency|open|is_used|special_use
#o:211|seed|711|seed desc|4|1|-1|-1|0|0
#o:212|potion_1|131|potion desc|6|1|-1|-1|0|0
#o:213|potion_2|131|potion desc|6|1|-1|-1|0|0
#o:214|potion_3|131|potion desc|6|1|-1|-1|0|0
#o:215|eldritch_artifact|123|gun desc|-20|1|-1|-1|0|0
#o:216|dynamite|722|dynamite desc|-25|1|-1|-1|0|0
#o:217|lever_1|723|lever desc|0|0|-1|-1|0|0
#o:218|lever_2|733|lever desc|0|0|-1|-1|0|0
#o:219|breadcrumbs|122|crumbs desc|6|1|-1|-1|0|0
#o:220|treasure|731|treasure desc|0|1|-1|-1|0|0
#o:221|eldritch_rocks|132|ammo desc|0|1|-1|-1|0|0
#o:222|spider_food|132|food desc|5|1|-1|-1|0|0
#o:223|baby_food|713|food desc|5|1|-1|-1|0|0
#o:224|mystery_water|123|toilet desc|-3|1|-1|-1|0|0

#p:2|Ant|mO^|111|10|3|-1|-1|-1|
#p:3|Worm|-^-^-|123|10|3|-1|-1|-1|

0=NORTH 1=SOUTH 2=EAST 3=WEST 4=UP 5=DOWN
#l:311|Tutorial-Entry|111|112|1|1|
#l:321|Entry-Corridor_11|112|711|3|1|
#l:331|Entry-Stairs_1|112|714|2|1|
#l:341|Entry-Hole|112|113|1|1|
#l:351|Corridor_11-Corridor_12|711|712|1|1|
#l:361|Corridor_12-Corridor_13|712|713|1|1|
#l:371|Stairs_1-Stairs_2|714|121|4|1|
#l:381|Stairs_2-Corridor_21|121|721|0|1|
#l:391|Corridor_21-Corridor_22|721|722|2|1|
#l:401|Corridor_22-Lever_1|722|723|2|1|
#l:411|Lever_1-Pantry|723|123|1|1|
#l:421|Stairs_2-Corridor_23|121|731|1|1|
#l:431|Corridor_23-Corridor_24|731|732|2|1|
#l:441|Corridor_24-Lever_2|732|733|2|1|
#l:451|Lever_2-Pantry|733|123|0|1|
#l:461|Stairs_2-Hallway|121|122|2|1|
#l:471|Hallway-Pantry|122|123|2|1|
#l:481|Hole-Laboratory|113|131|5|1|
#l:491|Laboratory-Cell|131|132|1|1|
#l:301|Hole-Lair|113|114|1|1|
#l:310|Entry-Room_0|112|0|4|1|
#l:320|Corridor_11-Entry|711|112|2|1|
#l:330|Stairs_1-Entry|714|112|3|1|
#l:340|Hole-Entry|113|112|0|1|
#l:350|Corridor_12-Corridor_11|712|711|0|1|
#l:360|Corridor_13-Corridor_12|713|712|0|1|
#l:370|Stairs_2-Stairs_1|121|714|5|1|
#l:380|Corridor_21-Stairs_2|721|121|1|1|
#l:390|Corridor_22-Corridor_21|722|721|3|1|
#l:400|Lever_1-Corridor_22|723|722|3|1|
#l:410|Pantry-Lever_1|123|723|0|1|
#l:420|Corridor_23-Stairs_2|731|121|0|1|
#l:430|Corridor_24-Corridor_23|732|731|3|1|
#l:440|Lever_2-Corridor_24|733|732|3|1|
#l:450|Pantry-Lever_2|123|733|1|1|
#l:460|Hallway-Stairs_2|122|121|3|1|
#l:470|Pantry-Hallway|123|122|3|1|
#l:480|Laboratory-Hole|131|113|4|0|
#l:490|Cell-Laboratory|132|131|0|1|
#l:300|Lair-Hole|114|113|0|1|

#g:20|do_open_gate|1|0|1|22|
#g:21|set_anim_default|1|0|1|0

esto es para saber de quien es el turno
#T:0|

#t:data/anthill_textures.txt
Las animaciones tienen la siguiente estructura:
 id|name|path|width|height|frames|time_per_frame|
 widht_padding|height_padding|back_colour|char_colour|
#a:1|test_dialogue|test_dialogue.anim|10|2|3|1|1|1|0|7|
